Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2LKOHdMsL0K9KwcPRlJK2v,"After Dark","Time","Mr.Kitty",2014-10-06,259146,76,false,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-11T07:57:52Z,"витч-хаус,дарк-вейв","Negative Gain Productions",0.585,0.595,8,-10.444,1,0.0328,0.0696,0.266,0.0837,0.039,140.037,4
spotify:track:0l2Ob0zMIQ21gJn642HyQ1,"0% Angel","Ephemeral","Mr.Kitty",2019-05-24,234671,56,false,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-11T07:57:52Z,"витч-хаус,дарк-вейв","Negative Gain Productions",0.623,0.867,8,-7.656,0,0.0262,0.00547,0.000275,0.0797,0.766,135.013,4
spotify:track:4A5o2VlPspuhhJDnLuzMPE,"Lost Children","ETERNITY","Mr.Kitty",2012,327115,40,false,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-11T07:57:52Z,"витч-хаус,дарк-вейв","Negative Gain Productions",0.6,0.872,0,-6.951,0,0.0279,0.00404,0.00000566,0.318,0.864,134.999,4
spotify:track:7biChppM3c8q7qcVl7ceb2,"ЛАБИРИНТ","12","FACE",2019-10-01,169130,60,false,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-11T07:57:52Z,"","Face",0.866,0.722,4,-6.497,0,0.144,0.213,0,0.183,0.912,137.943,4
spotify:track:6VRdPW2Y7g7LufDPRXmbhr,"В новых адиках","Жизнь удалась","FACE",2021-02-26,154000,50,true,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-11T07:57:52Z,"","Face",0.891,0.627,7,-5.988,1,0.143,0.0614,0.00128,0.138,0.519,159.998,4
spotify:track:4ZeYmXrZ8O5NyhzmOGlgKJ,"почему космос не пишет про нас","ANEMONE","mzlff",2023-04-21,162857,0,false,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-11T07:57:52Z,"","Zion Music",0.749,0.837,9,-3.639,0,0.075,0.0322,0,0.0861,0.0403,112.05,4
spotify:track:7xEx9GLuAcUXDBbKTZYtcD,"человейники","к маяку вселенной","mzlff",2022-11-25,175094,34,true,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-11T07:57:52Z,"","Legacy Music",0.544,0.847,8,-5.403,1,0.142,0.442,0,0.178,0.302,158.966,4
spotify:track:2oSfRjsyLZzzczySfzcIFw,"однополярности","ANEMONE","mzlff;STED.D",2023-04-21,170181,0,true,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-11T07:57:52Z,"","Zion Music",0.595,0.878,1,-4.263,1,0.04,0.012,0,0.405,0.155,110.002,4
spotify:track:0JP9xo3adEtGSdUEISiszL,"Moonlight","?","XXXTENTACION",2018-03-16,135090,81,true,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-11T07:57:52Z,"эмо-рэп","Bad Vibes Forever, LLC",0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,4
spotify:track:3ee8Jmje8o58CHK66QrVC2,"SAD!","?","XXXTENTACION",2018-03-16,166605,79,true,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-11T07:57:52Z,"эмо-рэп","Bad Vibes Forever, LLC",0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,4
spotify:track:285pBltuF7vW8TeWk8hdRR,"Lucid Dreams","Goodbye & Good Riddance","Juice WRLD",2018-12-10,239835,82,true,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-11T07:57:52Z,"мелодичный рэп,эмо-рэп","Juice WRLD Mixtape / ISR P&D",0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,4
spotify:track:3wwo0bJvDSorOpNfzEkfXx,"Let Me Know (I Wonder Why Freestyle)","Let Me Know (I Wonder Why Freestyle)","Juice WRLD",2019-12-07,215380,77,true,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-11T07:57:52Z,"мелодичный рэп,эмо-рэп","Grade A Productions/Interscope Records",0.635,0.537,7,-7.895,0,0.0832,0.172,0,0.418,0.383,125.028,4
spotify:track:4xGvasTNSFu7K7Zf9UA57T,"PRAXX","PRAXX","DK",2021-11-26,225120,43,true,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-11T07:57:52Z,"","Koala Music",0.975,0.873,11,-8.245,0,0.156,0.0168,0,0.425,0.916,125.035,4
spotify:track:7aldCcAbwm9kK2yTmiu18U,"Хламидия","Хламидия","5opka;MellSher",2022-10-07,193319,0,true,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-11T07:57:52Z,"","NOZML",0.706,0.763,8,-4.787,1,0.0292,0.271,0,0.125,0.614,105.02,4
spotify:track:1xwDjxLlGNxXiHYqltJvpH,"дети немой страны","осень","конец солнечных дней",2020-10-16,132446,50,false,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-11T07:57:52Z,"постпанк","A+",0.657,0.896,8,-5.906,1,0.0425,0.00361,0.0733,0.125,0.331,92.164,4
spotify:track:7GX5flRQZVHRAGd6B4TmDO,"XO Tour Llif3","Luv Is Rage 2","Lil Uzi Vert",2017-08-25,182706,79,true,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-11T07:57:52Z,"мелодичный рэп","Generation Now/Atlantic",0.732,0.75,11,-6.366,0,0.231,0.00264,0,0.109,0.401,155.096,4
spotify:track:6485IYdITAUfoks5gla60L,"Всё в порядке","SYNONIM","DK",2020-08-21,154894,40,true,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-11T07:57:52Z,"","Koala Music",0.774,0.926,0,-6.579,1,0.0747,0.00124,0.00723,0.0591,0.835,155.013,4
spotify:track:3nNvpX31lZTb6yAY02gjPB,"По необъятной","SYNONIM","DK",2020-08-21,158637,34,true,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-11T07:57:52Z,"","Koala Music",0.829,0.924,11,-5.59,0,0.107,0.00175,0.065,0.126,0.961,157.028,4
spotify:track:3oDkdAySo1VQQG0ptV7uwa,"Lean Wit Me","Goodbye & Good Riddance","Juice WRLD",2018-12-10,175755,76,true,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-11T07:57:52Z,"мелодичный рэп,эмо-рэп","Juice WRLD Mixtape / ISR P&D",0.665,0.651,1,-5.515,1,0.156,0.0414,0,0.0896,0.237,163.935,4
spotify:track:4VXIryQMWpIdGgYR4TrjT1,"All Girls Are The Same","Goodbye & Good Riddance","Juice WRLD",2018-12-10,165819,81,true,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-11T07:57:52Z,"мелодичный рэп,эмо-рэп","Juice WRLD Mixtape / ISR P&D",0.671,0.529,0,-7.226,1,0.307,0.0769,0.000335,0.0856,0.203,161.989,4
spotify:track:6iaSML1PIYq936g62BDtBq,"Robbery","Death Race For Love (Bonus Track Version)","Juice WRLD",2019-03-08,240050,77,true,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-11T07:57:52Z,"мелодичный рэп,эмо-рэп","Grade A Productions/Interscope Records",0.623,0.692,2,-5.122,1,0.0504,0.328,0,0.153,0.566,79.899,4
spotify:track:53kxsvJn2jL6Cs17yK6Tok,"Пачка сигарет","Виктор Цой 55 (Выпуск в честь 55-летия Виктора Цоя)","Кино;Виктор Цой",2017-06-21,268120,43,false,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-11T07:57:52Z,"постпанк,колдвейв","Moroz Records",0.584,0.803,2,-9.208,1,0.0277,0.0993,0.00881,0.537,0.63,174.888,4
